Fund,Fund Manager,Category,25-Apr,25-May,25-Jun,25-Jul,25-Aug,25-Sep,25-Oct,25-Nov,25-Dec,26-Jan,classification
Mirae Asset Large & Midcap Fund Reg(G),Neelesh Surana,EQ-L&M,3.12,4.18,4.18,-1.95,-1.72,1.76,5.02,0.98,0.06,-3.76,Equity : Large & Mid Cap
Mirae Asset Large Cap Fund Reg(G),Gaurav Misra,EQ-LC,3.07,2.71,2.96,-1.6,-1.11,0.5,3.93,1.87,-0.23,-3.6,Equity : Large Cap
Mirae Asset Liquid Fund Reg(G),Pranavi Kulkarni,DT-LIQ,0.58,0.56,0.51,0.48,0.47,0.47,0.48,0.47,0.5,0.43,Debt : Liquid
Mirae Asset Long Duration Fund Reg(G),Kruti Chheta,DT-LD,2.15,0.06,-2.12,0.51,-2.45,1.3,0.36,-0.2,0.67,-0.16,Debt : Long Duration
Mirae Asset Low Duration Fund Reg Savings Plan(G),Basant Bafna,DT-LOWD,0.88,0.73,0.55,0.54,0.36,0.53,0.54,0.48,0.37,0.17,Debt : Low Duration
Mirae Asset Midcap Fund Reg(G),Ankit Jain,EQ-MID,3.66,6.35,5.43,-1.24,-1.5,2.04,4.82,0.92,-0.26,-4.59,Equity : Mid Cap
Mirae Asset Money Market Fund Reg(G),Pranavi Kulkarni,DT-MM,0.87,0.66,0.62,0.55,0.42,0.49,0.48,0.47,0.48,0.26,Debt : Money Market
Mirae Asset Multi Asset Allocation Fund Reg(G),Harshad Borawake,HY-MULTI,2.31,2.42,2.28,-0.53,-0.74,2.88,3.04,1.52,2.34,1.77,Hybrid : Multi Asset Allocation
Mirae Asset Multi Factor Passive FOF Reg(G),Ritesh Patel,FOF-DOM,-,-,-,-,-,0.77,4.43,1.27,-0.65,-2.01,FoFs : Domestic
Mirae Asset Multicap Fund Reg(G),Ankit Jain,EQ-MLC,3.32,5.56,4.83,-2.27,-1.38,1.39,4.17,0.48,-0.37,-3.83,Equity : Multi Cap
Mirae Asset Nifty 100 ESG Sector Leaders ETF,Ekta Gala,EQ-ETF,3.66,1.98,3.4,-2.4,-1.08,0.18,4.03,1.89,-0.22,-3,Equity : ETFs
Mirae Asset Nifty 100 ESG Sector Leaders FoF Reg(G),Ekta Gala,FOF-DOM,3.71,2.13,2.98,-2.14,-1.13,0.1,4.02,1.77,-0.47,-2.77,FoFs : Domestic
Mirae Asset Nifty 100 Low Volatility 30 ETF,Ekta Gala,EQ-ETF,3.6,1.02,2.77,-0.58,1.43,-1.67,3.7,1.94,0.36,-3.18,Equity : ETFs
Mirae Asset Nifty 1D Rate Liquid ETF(G),Krishnpal Yadav,DT-ETF,0.46,0.47,0.42,0.44,0.44,0.43,0.45,0.42,0.42,0.43,Debt : ETFs
Mirae Asset Nifty 1D Rate Liquid ETF(IDCW),Krishnpal Yadav,DT-ETF,0.46,0.46,0.41,0.41,0.44,0.42,0.44,0.41,0.41,0.42,Debt : ETFs
Mirae Asset Nifty 200 Alpha 30 ETF,Ekta Gala,EQ-ETF,4.1,4.59,6.45,-3.92,-2.01,-1.42,5.02,2.44,-3.7,-2.37,Equity : ETFs
Mirae Asset Nifty 50 ETF,Ekta Gala,EQ-ETF,3.48,1.92,3.36,-2.76,-1.21,0.76,4.61,1.91,-0.28,-3.04,Equity : ETFs
Mirae Asset Nifty 50 Index Fund Reg(G),Ekta Gala,EQ-INDX,3.39,1.84,3.3,-2.83,-1.27,0.69,4.55,1.85,-0.35,-3.07,Equity : Index Funds
Mirae Asset Nifty 8 13 yr G Sec ETF,Pranavi Kulkarni,DT-ETF,2.09,1.04,-0.22,0.22,-1.06,0.76,0.84,0.41,0.14,-0.04,Debt : ETFs
Mirae Asset Nifty AAA PSU Bond Plus SDL Apr 2026 50:50 Index Fund Reg(G),Pranavi Kulkarni,DT-B&PSU,0.86,0.7,0.57,0.48,0.4,0.52,0.47,0.44,0.5,0.38,Debt : Banking & PSU
Mirae Asset Nifty Bank ETF,Ekta Gala,EQ-ETF,6.82,1.36,3.1,-2.26,-3.91,1.81,5.74,3.41,-0.31,0.03,Equity : ETFs
Mirae Asset Nifty Energy ETF,Ekta Gala,EQ-ETF,-,-,-,-,-,-,-,-,-0.62,-0.52,Equity : ETFs
Mirae Asset Nifty EV and New Age Automotive ETF,Ekta Gala,EQ-ETF,2.12,6.96,1.2,-1.38,2.9,2.83,1.3,0.74,0.73,-6.22,Equity : ETFs
Mirae Asset Nifty Financial Services ETF,Ekta Gala,EQ-ETF,4.14,1.64,2.93,-1.83,-3.85,1.76,4.3,2.78,-1.06,-1.03,Equity : ETFs
Mirae Asset Nifty India Internet ETF,Ekta Gala,EQ-ETF,-,-,-,-,0.7,-0.96,4.77,-1.46,-2.75,-8.26,Equity : ETFs
Mirae Asset Nifty India Manufacturing ETF,Ekta Gala,EQ-ETF,3.08,4.76,2.89,-2.03,0.21,3.67,3.26,0.29,0.65,-2.35,Equity : ETFs
Mirae Asset Nifty India Manufacturing ETF FoF Reg(G),Ekta Gala,FOF-DOM,3.25,4.75,2.62,-2.17,0.51,3.62,3.03,0.41,0.64,-2.41,FoFs : Domestic
Mirae Asset Nifty India New Age Consumption ETF,Ekta Gala,EQ-ETF,4.25,3.49,4.92,-1.89,2.13,0.08,2.76,-0.81,-2.01,-7.26,Equity : ETFs
Mirae Asset Nifty India New Age Consumption ETF FoF Reg(G),Ekta Gala,FOF-DOM,4.14,4.06,4.61,-1.9,2.03,0.11,2.7,-0.87,-2.06,-7.25,FoFs : Domestic
Mirae Asset Nifty IT ETF,Ekta Gala,EQ-ETF,-2.85,4.71,4.52,-9.05,-0.35,-4.35,6.89,4.78,1.27,0.89,Equity : ETFs
Mirae Asset Nifty LargeMidcap 250 Index Fund Reg(G),Ekta Gala,EQ-INDX,3.51,4.16,3.65,-2.81,-2.11,1.19,4.49,1.48,-0.43,-3.3,Equity : Index Funds
Mirae Asset Nifty Metal ETF,Ekta Gala,EQ-ETF,-5.64,7.1,3.91,-2.59,-1.22,9.66,5.69,-3,8.47,5.91,Equity : ETFs
Mirae Asset Nifty Midcap 150 ETF,Ekta Gala,EQ-ETF,3.95,6.37,4.14,-2.73,-2.78,1.39,4.81,1.66,-0.53,-3.5,Equity : ETFs
Mirae Asset Nifty MidSmallcap400 Momentum Quality 100 ETF,Ekta Gala,EQ-ETF,3.96,7.63,3.77,-5.26,-3.76,-0.01,4.31,1.08,-3.51,-1.56,Equity : ETFs
Mirae Asset Nifty MidSmallcap400 Momentum Quality 100 ETF FoF Reg(G),Ekta Gala,FOF-DOM,3.92,7.75,3.7,-5.19,-3.95,-0.05,4.18,0.93,-3.57,-1.45,FoFs : Domestic
Mirae Asset Nifty Next 50 ETF,Ekta Gala,EQ-ETF,2.33,3.54,3.44,-2.61,-1.78,3.17,2.97,-0.94,0.33,-2.17,Equity : ETFs
Mirae Asset Nifty PSU Bank ETF,Ekta Gala,EQ-ETF,4.44,7.26,3.16,-4.85,-1.4,11.39,8.74,4.02,0.2,5.74,Equity : ETFs
Mirae Asset Nifty SDL Jun 2027 Index Fund Reg(G),Pranavi Kulkarni,DT-M&LD,1.35,1.03,0.28,0.6,0.08,0.57,0.68,0.44,0.41,0.42,Debt : Medium to Long Duration
Mirae Asset Nifty SDL June 2028 Index Fund Reg(G),Pranavi Kulkarni,DT-M&LD,1.84,1.23,0.18,0.52,-0.85,1.01,0.79,0.43,0.56,0.06,Debt : Medium to Long Duration
Mirae Asset Nifty Smallcap 250 ETF,Ekta Gala,EQ-ETF,-,-,-,-,-,-,-,-,-0.29,-5.5,Equity : ETFs
Mirae Asset Nifty Smallcap 250 Momentum Quality 100 ETF,Ekta Gala,EQ-ETF,0.09,8.55,5.87,-5.79,-3.46,0.95,3.31,-2.77,-1.58,-4.32,Equity : ETFs
Mirae Asset Nifty Smallcap 250 Momentum Quality 100 ETF FoF Reg(G),Ekta Gala,FOF-DOM,0.08,8.74,5.52,-5.58,-3.78,1.08,2.95,-2.69,-1.57,-4.61,FoFs : Domestic
Mirae Asset Nifty Top 20 Equal Weight ETF,Ritesh Patel,EQ-ETF,-,-,-,-,-,-,-,-,-,-3.46,Equity : ETFs
Mirae Asset Nifty Total Market Index Fund Reg(G),Ekta Gala,EQ-INDX,3.08,3.86,3.65,-2.83,-1.96,1.08,4.25,0.78,-0.42,-3.43,Equity : Index Funds
Mirae Asset Nifty200 Alpha 30 ETF FoF Reg(G),Ekta Gala,FOF-DOM,4.33,4.48,6.54,-4.02,-2.11,-1.57,4.88,2.53,-3.89,-2.33,FoFs : Domestic
Mirae Asset Nifty50 Equal Weight ETF,Ekta Gala,EQ-ETF,-,-,3.86,-3.11,0.48,1.47,4.23,1.12,0.32,-1.85,Equity : ETFs
Mirae Asset Nifty500 Multicap 50:25:25 ETF,Ekta Gala,EQ-ETF,3.04,5.07,4.14,-2.96,-2.25,1.21,4.29,0.31,-0.31,-3.71,Equity : ETFs
Mirae Asset NYSE FANG+ ETF,Siddharth Srivastava,EQ-ETF,6.48,12.28,8.59,3.88,0.84,6.73,4.58,-0.97,-4.43,-0.92,Equity : ETFs
Mirae Asset NYSE FANG+ETF FoF Reg(G),Ekta Gala,FOF-OVR,1.7,12.01,3.43,10.27,1.64,6.93,5.67,-2.94,-2.46,-0.45,FoFs : Overseas
Mirae Asset Overnight Fund Reg(G),Krishnpal Yadav,DT-ON,0.48,0.48,0.43,0.44,0.45,0.44,0.46,0.43,0.44,0.44,Debt : Overnight
Mirae Asset S&P 500 Top 50 ETF,Siddharth Srivastava,EQ-ETF,-1.05,7.99,6,5.7,2.18,6.05,3.94,0.26,0.11,1.66,Equity : ETFs
Mirae Asset S&P 500 Top 50 ETF FoF Reg(G),Ekta Gala,FOF-OVR,3.2,5.89,1.91,13.71,3.27,5.17,4.42,-1.4,1.52,-0.63,FoFs : Overseas
Mirae Asset Short Duration Fund Reg(G),Basant Bafna,DT-SD,1.38,0.94,0.13,0.6,-0.11,0.63,0.72,0.46,0.08,-0.02,Debt : Short Duration
Mirae Asset Silver ETF,Ritesh Patel,GOLD-ETF,-5.84,3.37,8.45,3.92,6.6,20.29,4.68,10.06,38.99,44.46,Gold : ETFs
Mirae Asset Small Cap Fund Reg(G),Varun Goel,EQ-SML,2.2,7.09,4.62,0.1,-1.93,1.3,5.14,-1.86,-0.61,-3.71,Equity : Small Cap
Mirae Asset Ultra Short Duration Fund Reg(G),Basant Bafna,DT-USD,0.74,0.62,0.63,0.57,0.44,0.54,0.52,0.48,0.49,0.26,Debt : Ultra Short Duration
Motilal Oswal 5 Year G Sec FoF Reg(G),Rakesh Shetty,FOF-DOM,1.97,2.11,-0.59,0.69,-0.21,0.51,0.22,0.79,0.03,0.1,FoFs : Domestic
Motilal Oswal Active Momentum Fund Reg(G),Ajay Khandelwal,EQ-THEM,-0.8,9.02,4.33,-2.86,1.29,1.46,7.36,4.03,-1.82,-3.47,Equity : Thematic
Motilal Oswal Arbitrage Fund Reg(G),Vishal Ashar,HY-ARB,0.62,0.31,0.84,0.47,0.45,0.36,0.46,0.58,0.59,0.57,Hybrid : Arbitrage
Motilal Oswal Asset Allocation Passive FoF Aggressive Reg(G),Swapnil P Mayekar,FOF-DOM,2.35,3.67,2.75,-0.2,0.03,3.16,2.86,1.44,0.78,1.26,FoFs : Domestic
Motilal Oswal Asset Allocation Passive FoF Conservative Reg(G),Swapnil P Mayekar,FOF-DOM,2.35,2.93,1.37,0.25,0.11,2.7,1.88,1.4,0.81,1.74,FoFs : Domestic
Motilal Oswal Balanced Advantage Fund Reg(G),Atul Mehra,HY-DYN,0.44,5.99,2.01,0.69,1.2,-3.92,5.97,0.19,-4.86,-5.86,Hybrid : Dynamic Asset Allocation
Motilal Oswal BSE 1000 Index Fund Reg(G),Swapnil P Mayekar,EQ-INDX,-,-,-,-1.36,-1.94,1.12,4.13,0.62,-0.39,-3.55,Equity : Index Funds
Motilal Oswal BSE Enhanced Value ETF,Swapnil P Mayekar,EQ-ETF,3.4,4.34,3.44,-3.91,-3,7.6,6.58,0.13,3.35,2.42,Equity : ETFs
Motilal Oswal BSE Enhanced Value Index Fund Reg(G),Swapnil P Mayekar,EQ-INDX,3.33,4.27,3.37,-3.97,-3.05,7.52,6.47,-0.01,3.26,2.35,Equity : Index Funds
Motilal Oswal BSE Financials ex Bank 30 Index Fund Reg(G),Swapnil P Mayekar,EQ-INDX,1.56,5.92,5.31,-4.38,-2.45,4,4.51,1.92,0.27,-3.87,Equity : Index Funds
Motilal Oswal BSE Healthcare ETF,Swapnil P Mayekar,EQ-ETF,1.91,0.93,3.92,2.7,-3.82,-1.26,3.36,0.8,-2.43,-5.61,Equity : ETFs
Motilal Oswal BSE India Infrastructure ETF,Swapnil P Mayekar,EQ-ETF,-,-,2.89,-3.83,-4.53,6.62,3.23,-2.4,-1.33,-2.13,Equity : ETFs
Motilal Oswal BSE Low Volatility ETF,Swapnil P Mayekar,EQ-ETF,4.09,1.47,3.15,-2.05,-0.3,-0.88,3.25,1.74,0.24,-2.96,Equity : ETFs
Motilal Oswal BSE Low Volatility Index Fund Reg(G),Swapnil P Mayekar,EQ-INDX,4.03,1.41,3.09,-2.11,-0.35,-0.94,3.19,1.69,0.18,-3.02,Equity : Index Funds
Motilal Oswal BSE Quality ETF,Swapnil P Mayekar,EQ-ETF,4.37,5.01,4.35,-5.08,-0.6,0.88,2.81,0.79,1.14,-0.67,Equity : ETFs
Motilal Oswal BSE Quality Index Fund Reg(G),Swapnil P Mayekar,EQ-INDX,4.27,4.96,4.28,-5.14,-0.67,0.81,2.76,0.75,1.07,-0.73,Equity : Index Funds
Motilal Oswal BSE Select IPO ETF,Swapnil P Mayekar,EQ-ETF,-,-,-,-,-,-,-,-,-4.16,-8.07,Equity : ETFs
Motilal Oswal Business Cycle Fund Reg(G),Atul Mehra,EQ-THEM,-1.1,7.52,1.37,-0.01,0.99,-3.46,7.04,0.54,-4.72,-7.24,Equity : Thematic
Motilal Oswal Consumption Fund Reg(G),Varun Sharma,EQ-CONS,-,-,-,-,-,-,-,-0.74,-0.74,-10.27,Equity : Thematic - Consumption
Motilal Oswal Developed Market Ex US ETFs Overseas Equity Passive FOF Reg(G),Swapnil P Mayekar,FOF-OVR,2.53,6.04,2.35,0.18,5.19,2.83,1.15,1.52,2.77,7.44,FoFs : Overseas
Motilal Oswal Digital India Fund Reg(G),Varun Sharma,EQ-TECH,3.59,9.96,4.26,-2.22,0.69,-1.46,5.53,0.86,-2.35,-6.07,Equity : Sectoral - Technology
Motilal Oswal ELSS Tax Saver Fund Reg(G),Ajay Khandelwal,EQ-ELSS,1.59,11.73,3.06,-2.79,-4.49,3.29,2.88,-1.79,-2.4,-3.77,Equity : Tax Saving (ELSS)
Motilal Oswal Flexi Cap Fund Reg(G),Ajay Khandelwal,EQ-FLEX,0.16,4.95,5.93,-2.86,-0.97,-2.12,4.76,-0.55,-3.29,-4.63,Equity : Flexi Cap
Motilal Oswal Focused Fund Reg(G),Atul Mehra,EQ-LC,0.58,12.44,1.02,-1.51,-3.9,0.84,5.3,-0.06,0.15,-3.81,Equity : Large Cap
Motilal Oswal Gold and Silver Passive FoF Reg(G),Swapnil P Mayekar,GOLD-MF,2.63,1.33,2.66,3.15,4.55,17.05,1.54,5.98,15.8,29,Gold : MFs
Motilal Oswal Gold ETF,Dishant Mehta,GOLD-ETF,-,-,-,-,3.93,12.2,4.77,4.46,5.05,23.23,Gold : ETFs
Motilal Oswal Infrastructure Fund Reg(G),Ajay Khandelwal,EQ-INFRA,-,-,5.36,-2.45,3.34,1.07,5.98,-1.02,-1.61,-2.53,Equity : Sectoral - Infrastructure
Motilal Oswal Innovation Opportunities Fund Reg(G),Atul Mehra,EQ-THEM,3.62,7.07,7.11,-1.1,1.37,0.5,4.23,-1,-4.84,-4.11,Equity : Thematic
Motilal Oswal Large & Midcap Fund Reg(G),Ajay Khandelwal,EQ-L&M,2.1,12.57,2.98,-2.93,-2.8,4.34,3.26,-2.12,-2.82,-4.45,Equity : Large & Mid Cap
Motilal Oswal Large Cap Fund Reg(G),Ajay Khandelwal,EQ-LC,3.69,2.16,3.59,-1.26,-1.72,0.23,4.32,1.21,-0.98,-4.33,Equity : Large Cap
Motilal Oswal Liquid Fund Reg(G),Rakesh Shetty,DT-LIQ,0.53,0.49,0.49,0.44,0.45,0.44,0.45,0.45,0.47,0.41,Debt : Liquid
Motilal Oswal Manufacturing Fund Reg(G),Ajay Khandelwal,EQ-THEM,1.01,12.27,1.13,-3.66,1.93,2.08,1.27,-1.92,-1.99,-6.77,Equity : Thematic
Motilal Oswal Midcap Fund Reg(G),Ajay Khandelwal,EQ-MID,2.15,5.39,4.95,-2.59,0.05,-3.19,5.36,-0.56,-4.41,-6.95,Equity : Mid Cap
Motilal Oswal Multi Cap Fund Reg(G),Atul Mehra,EQ-MLC,-1.28,8.61,2.13,-0.79,-0.1,-3.38,4.82,1.13,-5,-6.92,Equity : Multi Cap
Motilal Oswal Nasdaq 100 ETF,Swapnil P Mayekar,EQ-ETF,0.43,10.35,6.51,4.58,1.53,6.13,4.59,-0.82,-0.27,3.52,Equity : ETFs
Motilal Oswal Nasdaq 100 FOF Reg(G),Swapnil P Mayekar,FOF-OVR,-6.64,5.53,7.69,7.89,-1.9,8.73,9.89,-5.28,-0.11,-0.52,FoFs : Overseas
Motilal Oswal NASDAQ Q 50 ETF,Swapnil P Mayekar,EQ-ETF,-1.78,6.81,5.44,5.69,4.93,4.14,2.23,-0.96,-0.2,5.77,Equity : ETFs
Motilal Oswal Nifty 100 ETF,Swapnil P Mayekar,EQ-ETF,-,-,-,-,-,-,-,1.54,-0.21,-2.94,Equity : ETFs
Motilal Oswal Nifty 200 Momentum 30 ETF,Swapnil P Mayekar,EQ-ETF,3.96,4.23,4.33,-5.17,-1.86,0.68,5.35,2.24,-3.52,-2.65,Equity : ETFs
Motilal Oswal Nifty 200 Momentum 30 Index Fund Reg(G),Swapnil P Mayekar,EQ-INDX,3.96,4.15,4.28,-5.22,-1.93,0.62,5.28,2.18,-3.59,-2.71,Equity : Index Funds
Motilal Oswal Nifty 5 Year Benchmark G Sec ETF,Rakesh Shetty,DT-ETF,1.98,1.33,-0.06,0.44,-0.56,0.88,0.61,0.3,0.13,0.32,Debt : ETFs
Motilal Oswal Nifty 50 Equal Weight ETF,Swapnil P Mayekar,EQ-ETF,-,-,3.84,-3.13,0.48,1.45,4.23,1.11,0.33,-1.85,Equity : ETFs
Motilal Oswal Nifty 50 ETF,Swapnil P Mayekar,EQ-ETF,3.48,1.92,3.35,-2.76,-1.21,0.76,4.61,1.91,-0.26,-3.04,Equity : ETFs
Motilal Oswal Nifty 50 Index Fund Reg(G),Swapnil P Mayekar,EQ-INDX,3.43,1.88,3.31,-2.81,-1.25,0.71,4.57,1.87,-0.3,-3.08,Equity : Index Funds
Motilal Oswal Nifty 500 ETF,Swapnil P Mayekar,EQ-ETF,3.24,3.63,3.75,-2.84,-1.83,1.21,4.35,0.98,-0.26,-3.28,Equity : ETFs
Motilal Oswal Nifty 500 Index Fund Reg(G),Swapnil P Mayekar,EQ-INDX,3.18,3.57,3.69,-2.89,-1.88,1.15,4.29,0.92,-0.32,-3.33,Equity : Index Funds
Motilal Oswal Nifty 500 Momentum 50 ETF,Swapnil P Mayekar,EQ-ETF,4.27,5.34,5.16,-6.07,-3.35,0.72,5.73,2.43,-4.19,-3.68,Equity : ETFs
Motilal Oswal Nifty 500 Momentum 50 Index Fund Reg(G),Swapnil P Mayekar,EQ-INDX,4.18,5.27,5.38,-6.12,-3.4,0.66,5.66,2.37,-4.24,-3.74,Equity : Index Funds
Motilal Oswal Nifty Alpha 50 ETF,Swapnil P Mayekar,EQ-ETF,-,-,-,-,-5.94,-0.87,4.36,2.42,-3.63,-3.36,Equity : ETFs
Motilal Oswal Nifty Bank Index Fund Reg(G),Swapnil P Mayekar,EQ-INDX,6.74,1.29,3.03,-2.34,-3.97,1.73,5.65,3.34,-0.39,-0.05,Equity : Index Funds
Motilal Oswal Nifty Capital Market ETF,Swapnil P Mayekar,EQ-ETF,9.35,14.11,11.16,-8.15,-5.64,1.19,9.33,5.62,-2.67,-0.07,Equity : ETFs
Motilal Oswal Nifty Capital Market Index Fund Reg(G),Swapnil P Mayekar,EQ-INDX,9.27,14.01,11.06,-8.17,-5.67,1.13,9.24,5.56,-2.72,-0.11,Equity : Index Funds
Motilal Oswal Nifty Energy ETF,Swapnil P Mayekar,EQ-ETF,-,-,-,-,-,-,-,-1.87,-0.68,-0.55,Equity : ETFs
Motilal Oswal Nifty India Defence ETF,Swapnil P Mayekar,EQ-ETF,11.47,21.76,2.11,-12.35,-4.61,5.87,3.6,-1.53,-3.32,5.6,Equity : ETFs
Motilal Oswal Nifty India Defence Index Fund Reg(G),Swapnil P Mayekar,EQ-INDX,11.38,21.68,2.03,-12.41,-4.66,5.89,3.53,-1.59,-3.37,5.53,Equity : Index Funds
Motilal Oswal Nifty India Manufacturing ETF,Swapnil P Mayekar,EQ-ETF,-,-,2.8,-1.94,0.17,3.64,3.25,0.29,0.64,-2.34,Equity : ETFs
Motilal Oswal Nifty India Tourism ETF,Swapnil P Mayekar,EQ-ETF,-,-,-,-1.74,-1.2,-2.61,1.06,1.23,-4.66,-10.48,Equity : ETFs
Motilal Oswal Nifty Microcap 250 Index Fund Reg(G),Swapnil P Mayekar,EQ-INDX,1.16,12,2.96,-1.12,-3.93,-0.84,3.83,-2.86,-2.56,-5.76,Equity : Index Funds
Motilal Oswal Nifty Midcap 100 ETF,Swapnil P Mayekar,EQ-ETF,4.75,6.15,4.1,-3.83,-2.83,1.43,5.84,2.13,-0.93,-3.37,Equity : ETFs
Motilal Oswal Nifty Midcap 150 Index Fund Reg(G),Swapnil P Mayekar,EQ-INDX,3.87,6.28,4.06,-2.81,-2.84,1.29,4.72,1.6,-0.61,-3.56,Equity : Index Funds
Motilal Oswal Nifty Midcap150 Momentum 50 ETF,Swapnil P Mayekar,EQ-ETF,-,-,-,-3.98,-2.96,-1.25,5.42,2.73,-2.92,-2.28,Equity : ETFs
Motilal Oswal Nifty MidSmall Financial Services Index Fund Reg(G),Swapnil P Mayekar,EQ-INDX,7.94,9.57,7.82,-6.54,-2.28,2.73,9.57,5.63,-0.64,-0.62,Equity : Index Funds
Motilal Oswal Nifty MidSmall Healthcare Index Fund Reg(G),Swapnil P Mayekar,EQ-INDX,-0.27,0.96,5.28,4.15,-4.24,-0.45,2.08,0.27,-0.92,-4.97,Equity : Index Funds
Motilal Oswal Nifty MidSmall India Consumption Index Fund Reg(G),Swapnil P Mayekar,EQ-INDX,3.52,-0.7,4.56,-0.91,-1.69,-1.21,3.08,-1.34,-2.99,-7.37,Equity : Index Funds
Motilal Oswal Nifty MidSmall IT and Telecom Index Fund Reg(G),Swapnil P Mayekar,EQ-INDX,2.12,6.19,5.4,-7.59,-3.63,-2.1,8.86,3.33,-1.61,-2.84,Equity : Index Funds
Motilal Oswal Nifty MNC ETF,Swapnil P Mayekar,EQ-ETF,-,-,-,-,-,-,-,-,-,-0.5,Equity : ETFs
Motilal Oswal Nifty Next 50 ETF,Swapnil P Mayekar,EQ-ETF,-,-,3.3,-2.63,-1.79,3.09,2.94,-0.94,0.3,-2.17,Equity : ETFs
Motilal Oswal Nifty Next 50 Index Fund Reg(G),Swapnil P Mayekar,EQ-INDX,2.24,3.41,3.42,-2.69,-1.86,3.08,2.89,-1.01,0.24,-2.26,Equity : Index Funds
Motilal Oswal Nifty PSE ETF,Swapnil P Mayekar,EQ-ETF,-,-,-,-4.03,-4.48,6.61,2.68,-2.8,1.05,3.16,Equity : ETFs
Motilal Oswal Nifty Realty ETF,Swapnil P Mayekar,EQ-ETF,4.03,7.17,3.89,-7.38,-4.52,-0.37,9.2,-4.71,-2.82,-10.83,Equity : ETFs
Motilal Oswal Nifty Services Sector ETF,Swapnil P Mayekar,EQ-ETF,-,-,-,-,-,-,-,-,-1.06,-1.51,Equity : ETFs
Motilal Oswal Nifty Smallcap 250 ETF,Swapnil P Mayekar,EQ-ETF,1.66,9.62,5.75,-3.59,-3.6,1.18,3.7,-3.31,-0.3,-5.52,Equity : ETFs
Motilal Oswal Nifty Smallcap 250 Index Fund Reg(G),Swapnil P Mayekar,EQ-INDX,1.59,9.55,5.68,-3.65,-3.66,1.08,3.64,-3.36,-0.38,-5.57,Equity : Index Funds
Motilal Oswal Quant Fund Reg(G),Ajay Khandelwal,EQ-THEM,0.24,9.75,2.98,-2.37,-3.81,1.9,3.78,-2.22,1.85,-1.45,Equity : Thematic
Motilal Oswal S&P 500 Index Fund Reg(G),Swapnil P Mayekar,EQ-INTL,-1.87,7.39,5.15,4.35,2.57,4.24,2.08,0.94,0.4,3.65,Equity : International
Motilal Oswal Services Fund Reg(G),Ajay Khandelwal,EQ-THEM,-,-,-,-4.26,2.38,0.64,7.22,0.51,-0.76,-3.79,Equity : Thematic
Motilal Oswal Silver ETF,Dishant Mehta,GOLD-ETF,-,-,-,-,-,20.4,4.57,9.97,38.72,44.27,Gold : ETFs
Motilal Oswal Small Cap Fund Reg(G),Ajay Khandelwal,EQ-SML,0.11,10.3,3.16,-2.22,-2.55,1.52,5.16,-1.29,-2.14,-5.65,Equity : Small Cap
Motilal Oswal Special Opportunities Fund Reg(G),Ajay Khandelwal,EQ-THEM,-,-,-,-,-,1.09,6.36,-0.4,-0.66,-4.08,Equity : Thematic
Motilal Oswal Ultra Short Term Fund Reg(G),Rakesh Shetty,DT-USD,0.56,0.49,0.46,0.41,0.37,0.41,0.41,0.39,0.41,0.21,Debt : Ultra Short Duration
Navi Aggressive Hybrid Fund Reg(G),Ashutosh Shirwaikar,HY-EQ,0.81,3.63,4.05,-1.45,-0.39,0.59,2.28,1,-0.29,-3.8,Hybrid : Equity Oriented
Navi BSE Sensex Index Fund Reg(G),Ashutosh Shirwaikar,EQ-INDX,3.58,1.66,2.77,-2.82,-1.62,0.51,4.6,2.14,-0.5,-3.49,Equity : Index Funds
Navi ELSS Tax Saver Fund Reg(G),Ashutosh Shirwaikar,EQ-ELSS,4.01,3.25,2.09,-3.71,-1.64,0.22,5.19,2.08,-0.85,-2.64,Equity : Tax Saving (ELSS)
Navi ELSS Tax Saver Nifty 50 Index Fund Reg(G),Ashutosh Shirwaikar,EQ-ELSS,3.38,1.84,3.27,-2.84,-1.29,0.69,4.53,1.84,-0.37,-3.12,Equity : Tax Saving (ELSS)
Navi Flexi Cap Fund Reg(G),Ashutosh Shirwaikar,EQ-FLEX,1.4,5.12,3.26,-2.2,-1.07,1.19,4.35,1.16,-0.53,-3.78,Equity : Flexi Cap
Navi Large & Midcap Fund Reg(G),Ashutosh Shirwaikar,EQ-L&M,2.82,4.09,3.3,-3.18,-1.7,0.8,4.21,0.66,-1,-3.85,Equity : Large & Mid Cap
Navi Liquid Fund Reg(G),Tanmay Sethi,DT-LIQ,0.5,0.51,0.52,0.46,0.45,0.44,0.45,0.45,0.47,0.45,Debt : Liquid
Navi Nasdaq100 US Specific Equity Passive FOF Reg(G),Ashutosh Shirwaikar,FOF-OVR,0.22,10.44,6.5,4.58,1.64,5.89,4.82,-0.83,0.57,2.72,FoFs : Overseas
Navi Nifty 50 Index Fund Reg(G),Ashutosh Shirwaikar,EQ-INDX,3.45,1.9,3.33,-2.79,-1.23,0.74,4.59,1.89,-0.31,-3.06,Equity : Index Funds
Navi Nifty 500 Multicap 50:25:25 Index Fund Reg(G),Ashutosh Shirwaikar,EQ-INDX,2.92,4.91,4.03,-3.01,-2.29,1.13,4.16,0.29,-0.33,-3.71,Equity : Index Funds
Navi Nifty Bank Index Fund Reg(G),Ashutosh Shirwaikar,EQ-INDX,6.76,1.29,3.02,-2.33,-3.98,1.73,5.67,3.35,-0.41,-0.04,Equity : Index Funds
